Name	Machine	Input	Time	Output
[0]	Nuclear Power Plant	1:Uranium Fuel Rod	300	50:Uranium Waste
[1]	Nuclear Power Plant	1:Plutonium Fuel Rod	600	10:Plutonium Waste
Adaptive Control Unit	Manufacturer	15:Automated Wiring, 10:Circuit Board, 2:Heavy Modular Frame, 2:Computer	120	2:Adaptive Control Unit
AI Limiter	Assembler	5:Copper Sheet, 20:Quickwire	12	1:AI Limiter
Alclad Aluminum Sheet	Assembler	3:Aluminum Ingot, 1:Copper Ingot	6	3:Alclad Aluminum Sheet
Alternate: Adhered Iron Plate	Assembler	3:Iron Plate, 1:Rubber	16	1:Reinforced Iron Plate
Alternate: Alclad Casing	Assembler	20:Aluminum Ingot, 10:Copper Ingot	8	15:Aluminum Casing
Alternate: Automated Miner	Manufacturer	1:Motor, 4:Steel Pipe, 4:Iron Rod, 2:Iron Plate	60	1:Portable Miner
Alternate: Automated Speed Wiring	Manufacturer	2:Stator, 40:Wire, 1:High-Speed Connector	32	4:Automated Wiring
Alternate: Biocoal	Constructor	5:Biomass	8	6:Coal
Alternate: Bolted Frame	Assembler	3:Reinforced Iron Plate, 56:Screw	24	2:Modular Frame
Alternate: Bolted Iron Plate	Assembler	18:Iron Plate, 50:Screw	12	3:Reinforced Iron Plate
Alternate: Cast Screw	Constructor	5:Iron Ingot	24	20:Screw
Alternate: Caterium Circuit Board	Assembler	10:Plastic, 30:Quickwire	48	7:Circuit Board
Alternate: Caterium Computer	Manufacturer	7:Circuit Board, 28:Quickwire, 12:Rubber	16	1:Computer
Alternate: Caterium Wire	Constructor	1:Caterium Ingot	4	8:Wire
Alternate: Charcoal	Constructor	1:Wood	4	10:Coal
Alternate: Cheap Silica	Assembler	3:Raw Quartz, 5:Limestone	16	7:Silica
Alternate: Classic Battery	Manufacturer	6:Sulfur, 7:Alclad Aluminum Sheet, 8:Plastic, 12:Wire	8	4:Battery
Alternate: Coated Cable	Refinery	5:Wire, 2:m^3 Heavy Oil Residue	8	9:Cable
Alternate: Coated Iron Canister	Assembler	2:Iron Plate, 1:Copper Sheet	4	4:Empty Canister
Alternate: Coated Iron Plate	Assembler	10:Iron Ingot, 2:Plastic	12	15:Iron Plate
Alternate: Coke Steel Ingot	Foundry	15:Iron Ore, 15:Petroleum Coke	12	20:Steel Ingot
Alternate: Compacted Coal	Assembler	5:Coal, 5:Sulfur	12	5:Compacted Coal
Alternate: Compacted Steel Ingot	Foundry	6:Iron Ore, 3:Compacted Coal	16	10:Steel Ingot
Alternate: Cooling Device	Blender	5:Heat Sink, 1:Motor, 24:m^3 Nitrogen Gas	32	2:Cooling System
Alternate: Copper Alloy Ingot	Foundry	10:Copper Ore, 5:Iron Ore	12	20:Copper Ingot
Alternate: Copper Rotor	Assembler	6:Copper Sheet, 52:Screw	16	3:Rotor
Alternate: Crystal Beacon	Manufacturer	4:Steel Beam, 16:Steel Pipe, 1:Crystal Oscillator	120	20:Beacon
Alternate: Crystal Computer	Assembler	8:Circuit Board, 3:Crystal Oscillator	64	3:Computer
Alternate: Diluted Fuel	Blender	5:m^3 Heavy Oil Residue, 10:m^3 Water	6	10:m^3 Fuel
Alternate: Diluted Packaged Fuel	Refinery	1:m^3 Heavy Oil Residue, 2:Packaged Water	2	2:Packaged Fuel
Alternate: Electric Motor	Assembler	1:Electromagnetic Control Rod, 2:Rotor	16	2:Motor
